Franchisee_Name,Zip_Code
Allen,75002
Celina,75009
Allen,75013
Plano,75023
Plano,75024
Plano,75025
Frisco,75034
Frisco,75035
Mckinney,75069
Mckinney,75070
Mckinney,75071
Mckinney,75072
Plano,75074
Plano,75075
Prosper,75078
Richardson,75082
Plano,75093
Plano,75094
Wylie,75098
Lavon,75166
Nevada,75173
Dallas,75252
Princeton,75407
Anna,75409
Blue Ridge,75424
Farmersville,75442
Melissa,75454
Addison,75001
Carrollton,75006
Coppell,75019
Irving,75038
Irving,75039
Garland,75040
Garland,75041
Garland,75042
Garland,75043
Garland,75044
Sachse,75048
Grand Prairie,75050
Grand Prairie,75051
Grand Prairie,75052
Irving,75060
Irving,75061
Irving,75062
Irving,75063
Richardson,75080
Richardson,75081
Rowlett,75088
Rowlett,75089
Cedar Hill,75104
Desoto,75115
Duncanville,75116
Lancaster,75134
Duncanville,75137
Hutchins,75141
Lancaster,75146
Mesquite,75149
Mesquite,75150
Seagoville,75159
Wilmer,75172
Balch Springs,75180
Mesquite,75181
Sunnyvale,75182
Dallas,75201
Dallas,75202
Dallas,75203
Dallas,75204
Dallas,75205
Dallas,75206
Dallas,75207
Dallas,75208
Dallas,75209
Dallas,75210
Dallas,75211
Dallas,75212
Dallas,75214
Dallas,75215
Dallas,75216
Dallas,75217
Dallas,75218
Dallas,75219
Dallas,75220
Dallas,75223
Dallas,75224
Dallas,75225
Dallas,75226
Dallas,75227
Dallas,75228
Dallas,75229
Dallas,75230
Dallas,75231
Dallas,75232
Dallas,75233
Dallas,75234
Dallas,75235
Dallas,75236
Dallas,75237
Dallas,75238
Dallas,75240
Dallas,75241
Dallas,75242
Dallas,75243
Dallas,75244
Dallas,75245
Dallas,75246
Dallas,75247
Dallas,75248
Dallas,75249
Dallas,75251
Dallas,75253
Dallas,75254
Dallas,75258
Dallas,75260
Dallas,75270
Dallas,75398
Carrollton,75007
Carrollton,75010
Flower Mound,75022
Flower Mound,75028
Frisco,75033
Frisco,75036
The Colony,75056
Lewisville,75057
Lake Dallas,75065
Lewisville,75067
Little Elm,75068
Lewisville,75077
Dallas,75287
Denton,76201
Denton,76205
Denton,76207
Denton,76208
Denton,76209
Denton,76210
Argyle,76226
Aubrey,76227
Justin,76247
Krum,76249
Pilot Point,76258
Ponder,76259
Roanoke,76262
Sanger,76266
Ennis,75119
Ferris,75125
Palmer,75152
Red Oak,75154
Waxahachie,75165
Waxahachie,75167
Forreston,76041
Maypearl,76064
Midlothian,76065
Italy,76651
Milford,76670
Denison,75020
Denison,75021
Gunter,75058
Pottsboro,75076
Sherman,75090
Sherman,75092
Bells,75414
Howe,75459
Whitewright,75491
Van Alstyne,75495
Collinsville,76233
Gordonville,76245
Sadler,76264
Tioga,76271
Whitesboro,76273
Caddo Mills,75135
Greenville,75401
Greenville,75402
Campbell,75422
Celeste,75423
Commerce,75428
Lone Oak,75453
Quinlan,75474
Wolfe City,75496
Alvarado,76009
Burleson,76028
Cleburne,76031
Cleburne,76033
Godley,76044
Grandview,76050
Joshua,76058
Keene,76059
Venus,76084
Rio Vista,76093
Crandall,75114
Forney,75126
Kaufman,75142
Mabank,75147
Scurry,75158
Terrell,75160
Terrell,75161
Aledo,76008
Cresson,76035
Millsap,76066
Springtown,76082
Weatherford,76085
Weatherford,76086
Weatherford,76087
Weatherford,76088
Poolville,76487
Whitt,76490
Rockwall,75032
Rockwall,75087
Royse City,75189
Grand Prairie,75054
Arlington,76001
Arlington,76002
Arlington,76005
Arlington,76006
Arlington,76010
Arlington,76011
Arlington,76012
Arlington,76013
Arlington,76014
Arlington,76015
Arlington,76016
Arlington,76017
Arlington,76018
Azle,76020
Bedford,76021
Bedford,76022
Colleyville,76034
Crowley,76036
Euless,76039
Euless,76040
Grapevine,76051
Haslet,76052
Hurst,76053
Hurst,76054
Kennedale,76060
Mansfield,76063
Southlake,76092
Fort Worth,76102
Fort Worth,76103
Fort Worth,76104
Fort Worth,76105
Fort Worth,76106
Fort Worth,76107
Fort Worth,76108
Fort Worth,76109
Fort Worth,76110
Fort Worth,76111
Fort Worth,76112
Fort Worth,76114
Fort Worth,76115
Fort Worth,76116
Haltom City,76117
Fort Worth,76118
Fort Worth,76119
Fort Worth,76120
Fort Worth,76123
Fort Worth,76126
Naval Air Station Jrb,76127
Fort Worth,76131
Fort Worth,76132
Fort Worth,76133
Fort Worth,76134
Fort Worth,76135
Fort Worth,76137
Fort Worth,76140
Fort Worth,76148
Fort Worth,76155
Fort Worth,76164
Fort Worth,76177
Fort Worth,76179
North Richland Hills,76180
North Richland Hills,76182
Keller,76244
Keller,76248
Houston,77422
Houston,77430
Houston,77480
Houston,77486
Houston,77511
Houston,77515
Houston,77531
Houston,77534
Houston,77541
Houston,77566
Houston,77577
Houston,77578
Houston,77581
Houston,77583
Houston,77584
Houston,77053
Houston,77406
Houston,77407
Houston,77417
Houston,77441
Houston,77444
Houston,77459
Houston,77461
Houston,77469
Houston,77471
Houston,77477
Houston,77478
Houston,77479
Houston,77489
Houston,77494
Houston,77498
Houston,77545
Houston,77510
Houston,77517
Houston,77518
Houston,77539
Houston,77546
Houston,77550
Houston,77551
Houston,77554
Houston,77563
Houston,77565
Houston,77568
Houston,77573
Houston,77590
Houston,77591
Houston,77002
Houston,77003
Houston,77004
Houston,77005
Houston,77006
Houston,77007
Houston,77008
Houston,77009
Houston,77010
Houston,77011
Houston,77012
Houston,77013
Houston,77014
Houston,77015
Houston,77016
Houston,77017
Houston,77018
Houston,77019
Houston,77020
Houston,77021
Houston,77022
Houston,77023
Houston,77024
Houston,77025
Houston,77026
Houston,77027
Houston,77028
Houston,77029
Houston,77030
Houston,77031
Houston,77032
Houston,77033
Houston,77034
Houston,77035
Houston,77036
Houston,77037
Houston,77038
Houston,77039
Houston,77040
Houston,77041
Houston,77042
Houston,77043
Houston,77044
Houston,77045
Houston,77046
Houston,77047
Houston,77048
Houston,77049
Houston,77050
Houston,77051
Houston,77054
Houston,77055
Houston,77056
Houston,77057
Houston,77058
Houston,77059
Houston,77060
Houston,77061
Houston,77062
Houston,77063
Houston,77064
Houston,77065
Houston,77066
Houston,77067
Houston,77068
Houston,77069
Houston,77070
Houston,77071
Houston,77072
Houston,77073
Houston,77074
Houston,77075
Houston,77076
Houston,77077
Houston,77078
Houston,77079
Houston,77080
Houston,77081
Houston,77082
Houston,77083
Houston,77084
Houston,77085
Houston,77086
Houston,77087
Houston,77088
Houston,77089
Houston,77090
Houston,77091
Houston,77092
Houston,77093
Houston,77094
Houston,77095
Houston,77096
Houston,77097
Houston,77098
Houston,77099
Houston,77201
Houston,77315
Houston,77336
Houston,77338
Houston,77339
Houston,77345
Houston,77346
Houston,77373
Houston,77375
Houston,77377
Houston,77379
Houston,77388
Houston,77389
Houston,77396
Houston,77401
Houston,77429
Houston,77433
Houston,77447
Houston,77449
Houston,77450
Houston,77493
Houston,77502
Houston,77503
Houston,77504
Houston,77505
Houston,77506
Houston,77507
Houston,77520
Houston,77521
Houston,77530
Houston,77532
Houston,77536
Houston,77547
Houston,77562
Houston,77571
Houston,77586
Houston,77587
Houston,77598
Houston,77301
Houston,77302
Houston,77303
Houston,77304
Houston,77306
Houston,77316
Houston,77318
Houston,77328
Houston,77354
Houston,77355
Houston,77356
Houston,77357
Houston,77362
Houston,77365
Houston,77372
Houston,77378
Houston,77380
Houston,77381
Houston,77382
Houston,77384
Houston,77385
Houston,77386
Houston,77331
Houston,77359
Houston,77364
Houston,77371
