Franchisee_Name,Zip_Code
Knoxville,37701 
Knoxville,37705 
Knoxville,37710 
Knoxville,37714 
Knoxville,37716 
Knoxville,37719 
Knoxville,37721 
Knoxville,37737 
Knoxville,37742 
Knoxville,37754 
Knoxville,37757 
Knoxville,37763 
Knoxville,37769 
Knoxville,37771 
Knoxville,37772 
Knoxville,37774 
Knoxville,37777 
Knoxville,37801 
Knoxville,37803 
Knoxville,37804 
Knoxville,37806 
Knoxville,37807 
Knoxville,37828 
Knoxville,37830 
Knoxville,37840 
Knoxville,37845 
Knoxville,37849 
Knoxville,37853 
Knoxville,37865 
Knoxville,37871 
Knoxville,37902 
Knoxville,37909 
Knoxville,37912 
Knoxville,37914 
Knoxville,37915 
Knoxville,37916 
Knoxville,37917 
Knoxville,37918 
Knoxville,37919 
Knoxville,37920 
Knoxville,37921 
Knoxville,37922 
Knoxville,37923 
Knoxville,37924 
Knoxville,37931 
Knoxville,37932 
Knoxville,37934 
Knoxville,37938 
Knoxville,37709 
Knoxville,37713 
Knoxville,37722 
Knoxville,37725 
Knoxville,37738 
Knoxville,37760 
Knoxville,37764 
Knoxville,37779 
Knoxville,37813 
Knoxville,37814 
Knoxville,37820 
Knoxville,37821 
Knoxville,37848 
Knoxville,37861 
Knoxville,37862 
Knoxville,37863 
Knoxville,37876 
Knoxville,37877 
Knoxville,37882 
Knoxville,37886 
Knoxville,37888 
Knoxville,37890 
